,dt_criacao,count
0,02/10/1992,1401
1,13/02/1988,166
2,20/07/2002,163
3,13/11/1991,159
4,02/03/1985,159
5,07/02/2003,150
6,02/10/1992 00:00,141
7,02/out/92,134
8,30/11/2001,99
9,13/07/1985,90
10,01/04/2009,79
11,28/12/2007,79
12,16/10/1987,75
13,21/12/2012,73
14,28/12/2000,61
15,30/12/2010,59
16,02/07/1996,56
17,22/06/2010,54
18,25/11/2008,53
19,05/05/1992,52
20,31/05/2007,51
21,04/03/1986,48
22,13/08/2010,47
23,19/09/2012,47
24,07/01/2010,45
25,05/10/1984,45
26,20/05/2008,44
27,26/08/2009,43
28,18/07/2008,43
29,25/05/2009,42
30,05/11/2009,42
31,19/03/2010,41
32,17/11/2008,39
33,16/12/2011,37
34,18/08/1987,36
35,17/10/2007,36
36,17/09/2003,36
37,01/10/1992,36
38,04/10/2010,36
39,14/04/2008,36
40,09/06/2011,36
41,11/10/2011,35
42,31/12/2008,35
43,10/09/2010,34
44,27/04/2010,33
45,16/07/2008,31
46,24/03/2011,31
47,08/09/2010,30
48,01/07/2008,29
49,04/01/2011,29
50,10/12/2012,28
51,24/06/2010,28
52,15/10/2012,28
53,07/11/2014,28
54,09/08/2008,27
55,11/06/2008,27
56,15/09/2008,27
57,19/02/2009,27
58,03/04/2008,27
59,18/09/2008,27
60,17/07/2010,27
61,20/12/2012,27
62,24/12/2010,27
63,27/08/2010,27
64,06/09/2011,27
65,20/01/2010,27
66,23/03/2010,27
67,24/03/2010,27
68,20/12/2007,27
69,10/12/2007,26
70,23/09/2008,26
71,26/08/2010,26
72,28/04/2009,26
73,05/08/2010,26
74,25/06/2010,26
75,30/10/1996,26
76,16/10/2010,26
77,08/12/2011,25
78,29/04/2010,25
79,20/12/2011,25
80,08/12/2010,24
81,03/02/2009,24
82,24/jul/15,24
83,11/06/2010,24
84,04/06/2011,24
85,08/05/2010,24
86,15/03/2010,24
87,31/07/2009,24
88,15/10/2009,24
89,24/11/2009,24
90,04/02/2011,23
91,19/06/2014,23
92,24/07/2015 00:00,23
93,05/10/2007,22
94,02/07/2010,22
95,11/11/2010,22
96,02/11/2010,22
97,20/07/2010,22
98,21/12/2011,22
99,10/05/2012,21
100,20/06/2012,21
101,02/12/2011,21
102,09/10/2008,21
103,12/08/2011,21
104,26/05/2011,21
105,17/12/2012,21
106,31/10/2012,21
107,05/10/2012,21
108,16/11/2011,21
109,19/02/2004,21
110,17/02/2012,21
111,16/06/2011,21
112,25/02/2011,21
113,28/10/2008,21
114,18/09/2012,21
115,30/04/2011,21
116,07/06/2014,20
117,23/11/2011,20
118,05/01/2011,20
119,17/09/2010,20
120,17/09/2011,20
121,18/08/2011,20
122,04/03/2011,20
123,27/03/2012,20
124,28/07/2010,20
125,21/07/2010,20
126,01/03/2014,20
127,28/09/2010,19
128,24/11/2011,19
129,15/10/2011,19
130,02/03/1985 00:00,19
131,23/12/2010,19
132,05/09/2014,19
133,22/10/2011,19
134,02/mar/85,19
135,24/02/2001,19
136,03/04/1976,18
137,16/12/2009,18
138,15/01/2010,18
139,28/05/2008,18
140,07/05/2002,18
141,27/09/2008,18
142,22/04/2010,18
143,20/12/1999,18
144,28/11/2007,18
145,03/12/2010,18
146,03/12/2009,18
147,01/03/1991,18
148,22/06/1994,18
149,01/06/2009,18
150,26/12/2012,18
151,14/08/2009,18
152,09/10/2009,18
153,11/09/2012,18
154,11/09/2010,18
155,11/09/2009,18
156,08/10/2011,18
157,30/10/2009,18
158,25/09/2009,18
159,18/06/1987,18
160,13/09/2010,18
161,24/04/2009,18
162,30/12/2001,18
163,13/fev/88,18
164,14/08/2012,18
165,09/10/2007,18
166,01/12/2008,18
167,08/10/2007,18
168,23/04/2009,18
169,01/07/2010,18
170,13/02/1988 00:00,18
171,20/05/2004,18
172,24/04/2008,18
173,13/08/1997,18
174,22/03/2012,17
175,17/05/2011,17
176,22/11/2010,17
177,02/09/2011,17
178,28/04/2011,17
179,02/10/2012,17
180,07/08/2009,17
181,28/09/2012,17
182,24/09/2010,17
183,09/09/2009,17
184,15/05/2009,17
185,28/12/2012,17
186,31/07/2007,17
187,30/04/2010,17
188,05/10/2011,17
189,15/08/2007,17
190,07/fev/03,16
191,19/04/2011,16
192,09/05/2011,16
193,22/12/2009,16
194,10/05/2011,16
195,07/11/2012,16
196,05/05/2011,16
197,07/02/2003 00:00,16
198,15/12/2010,16
199,13/10/2010,16
200,13/11/1991 00:00,16
201,15/03/2011,16
202,08/10/2010,15
203,20/03/2009,15
204,27/12/2007,15
205,16/07/2014,15
206,25/10/2011,15
207,15/06/2010,15
208,21/12/2010,15
209,30/08/2012,15
210,13/04/2011,15
211,29/07/2010,15
212,10/04/2008,15
213,10/09/2008,15
214,26/10/2011,15
215,18/08/2010,15
216,07/02/2008,15
217,31/10/1996,14
218,24/11/2010,14
219,20/01/2012,14
220,30/04/2008,14
221,08/03/2012,14
222,30/09/2008,14
223,07/07/1988,14
224,25/05/2012,14
225,08/08/2012,14
226,17/03/2012,14
227,11/11/2014,14
228,28/11/2011,14
229,29/04/2009,14
230,13/nov/91,14
231,29/03/2012,14
232,03/02/2012,14
233,31/08/2010,14
234,26/11/2012,13
235,20/04/2012,13
236,24/05/2012,13
237,13/08/2008,13
238,30/06/2011,13
239,03/09/2012,13
240,03/10/2012,13
241,29/08/2008,13
242,04/11/2011,13
243,24/09/2011,13
244,18/03/2011,13
245,14/03/2011,13
246,11/04/2012,13
247,24/10/2014,13
248,07/06/2011,13
249,29/12/2011,13
250,16/05/2011,13
251,18/06/2010,13
252,28/04/2010,13
253,12/03/2011,13
254,29/08/2009,12
255,04/12/2008,12
256,19/08/2010,12
257,08/08/2008,12
258,16/12/2010,12
259,31/03/2008,12
260,13/09/2007,12
261,04/08/2010,12
262,18/04/2013,12
263,04/02/2014,12
264,25/02/2013,12
265,23/02/2016,12
266,17/11/2014,12
267,21/10/2008,12
268,11/11/2011,12
269,20/08/2014,12
270,12/08/2010,12
271,27/07/2015,12
272,28/06/2011,12
273,27/07/2015 00:00,12
274,01/02/2011,12
275,31/10/2013,12
276,10/10/2013,12
277,28/12/2011,12
278,12/12/2012,12
279,15/08/1987,12
280,14/05/2009,11
281,10/08/2012,11
282,12/03/2010,11
283,09/02/2011,11
284,10/09/2009,11
285,30/03/2012,11
286,02/05/2007,11
287,05/11/2014,11
288,24/05/2011,11
289,30/nov/01,11
290,19/01/2012,11
291,16/04/2008,11
292,19/09/2013,11
293,06/11/2014,11
294,29/11/2012,11
295,07/12/2009,11
296,30/11/2001 00:00,11
297,01/10/2010,11
298,18/dez/15,10
299,08/08/2014,10
300,18/11/2014,10
301,22/11/2007,10
302,25/09/2014,10
303,11/06/2014,10
304,03/02/2010,10
305,23/03/2012,10
306,19/03/2014,10
307,05/02/2011,10
308,13/jul/85,10
309,07/03/2014,10
310,15/11/2008,10
311,04/11/2014,10
312,07/02/2014,10
313,03/09/2010,10
314,29/06/2010,10
315,27/10/2014,10
316,13/07/1985 00:00,10
317,27/01/2014,10
318,08/10/2013,10
319,13/01/2014,10
320,23/01/2014,10
321,10/04/2012,10
322,16/09/2011,10
323,19/11/2011,10
324,29/05/2012,10
325,05/10/1994,9
326,24/02/1995,9
327,12/02/2009,9
328,05/11/2007,9
329,24/03/2009,9
330,19/03/2009,9
331,19/07/2008,9
332,30/12/2015,9
333,12/02/1988,9
334,13/05/2010,9
335,23/12/2008,9
336,24/01/1996,9
337,01/09/2008,9
338,13/12/2007,9
339,31/01/1997,9
340,01/12/1988,9
341,19/06/2010,9
342,01/09/2009,9
343,24/07/2008,9
344,19/05/1998,9
345,19/06/2008,9
346,23/03/1991,9
347,23/10/2009,9
348,06/12/2011,9
349,31/03/2009,9
350,06/08/2004,9
351,12/06/2002,9
352,01/05/2003,9
353,06/08/2010,9
354,20/10/1984,9
355,22/08/2009,9
356,01/04/2010,9
357,20/10/2007,9
358,06/11/2007,9
359,06/11/2008,9
360,20/10/2008,9
361,20/10/2010,9
362,01/04/2008,9
363,22/06/2007,9
364,20/06/2008,9
365,01/03/1985,9
366,22/05/2008,9
367,12/11/2014,9
368,12/11/2008,9
369,07/08/1997,9
370,22/02/2007,9
371,21/01/2009,9
372,21/12/2012 00:00,9
373,01/02/2010,9
374,01/02/2008,9
375,07/05/1992,9
376,07/04/2010,9
377,12/10/2006,9
378,12/11/2007,9
379,22/12/2005,9
380,01/07/1992,9
381,01/08/2008,9
382,08/03/2010,9
383,23/09/1995,9
384,19/09/2014,9
385,19/10/2007,9
386,12/04/2007,9
387,23/08/2007,9
388,23/07/2009,9
389,19/10/2017,9
390,23/06/2010,9
391,08/04/2004,9
392,19/11/2007,9
393,08/03/2014,9
394,13/03/2014,9
395,23/04/2008,9
396,23/04/2007,9
397,01/08/1990,9
398,20/05/2010,9
399,19/11/2010,9
400,08/12/2004,9
401,19/11/2014,9
402,08/02/2010,9
403,08/01/2008,9
404,23/02/2018,9
405,13/03/2010,9
406,06/04/1988,9
407,06/06/2008,9
408,20/04/2010,9
409,13/03/1992,9
410,06/07/2006,9
411,06/07/2007,9
412,31/03/2006,9
413,30/10/2008,9
414,03/02/1985,9
415,05/07/2007,9
416,27/01/2010,9
417,10/04/2009,9
418,16/11/2007,9
419,11/02/2008,9
420,27/05/2009,9
421,27/05/2008,9
422,16/out/87,9
423,17/01/1990,9
424,14/12/2012,9
425,17/02/2009,9
426,29/05/1998,9
427,29/05/2008,9
428,14/12/1995,9
429,27/03/2008,9
430,17/04/2008,9
431,17/04/2012,9
432,16/10/1987 00:00,9
433,02/07/2009,9
434,17/05/2008,9
435,04/03/2010,9
436,29/06/1991,9
437,26/11/2009,9
438,17/06/2008,9
439,24/09/2007,9
440,26/09/2008,9
441,29/06/2009,9
442,04/05/1992,9
443,02/06/2008,9
444,04/05/2007,9
445,11/04/2003,9
446,17/09/2009,9
447,02/09/2009,9
448,27/08/2007,9
449,04/08/1994,9
450,03/07/2009,9
451,28/08/2012,9
452,28/08/2009,9
453,16/02/2009,9
454,28/11/2008,9
455,03/05/2007,9
456,10/12/2010,9
457,28/06/2008,9
458,16/04/1997,9
459,03/06/2010,9
460,16/04/1998,9
461,28/11/2017 00:00,9
462,10/11/1995,9
463,28/05/2002,9
464,16/05/2008,9
465,15/09/2010,9
466,11/01/2008,9
467,28/12/2001,9
468,28/03/2008,9
469,10/09/2003,9
470,16/06/2008,9
471,10/08/2007,9
472,10/08/1995,9
473,03/11/2008,9
474,10/07/2008,9
475,03/11/2009,9
476,01/01/2001,9
477,28/12/2010,9
478,16/07/1992,9
479,15/03/2006,9
480,15/01/2014,9
481,09/12/2009,9
482,17/07/2007,9
483,26/07/2008,9
484,30/06/2009,9
485,25/08/2010,9
486,14/07/2009,9
487,04/08/2009,9
488,25/07/2007,9
489,09/03/2010,9
490,25/06/2008,9
491,09/02/2010,9
492,30/05/2003,9
493,09/01/2007,9
494,30/05/2008,9
495,25/03/2010,9
496,05/01/1996,9
497,18/09/2009,9
498,05/01/2008,9
499,30/06/2010,9
500,29/12/2017,9
501,18/10/2007,9
502,18/10/2012,9
503,05/03/1996,9
504,05/03/2010,9
505,30/07/2008,9
506,19/01/2002,9
507,19/01/2008,9
508,14/04/2010,9
509,19/01/2010,9
510,05/05/2004,9
511,05/05/2010,9
512,30/09/2009,9
513,24/09/2012,9
514,14/01/1987,9
515,09/04/2010,9
516,05/02/2009,9
517,09/05/2008,9
518,11/08/2007,9
519,11/06/2013,9
520,18/02/2008,9
521,14/09/2009,9
522,09/11/2012,9
523,11/07/1985,9
524,18/04/2008,9
525,18/05/2010,9
526,04/12/2009,9
527,11/06/2009,9
528,11/05/2010,9
529,25/11/2009,9
530,18/06/2007,9
531,25/10/2003,9
532,09/12/2008,9
533,17/10/1995,9
534,14/08/2008,9
535,25/10/2008,9
536,14/09/2011,8
537,13/11/2014,8
538,10/10/2011,8
539,16/03/2011,8
540,10/12/2011,8
541,08/04/2011,8
542,14/11/2014,8
543,18/12/2015,8
544,21/07/2011,8
545,20/jul/02,8
546,08/11/2011,8
547,17/08/2011,8
548,18/02/2011,8
549,18/11/2011,8
550,16/05/2012,8
551,11/09/2007,8
552,11/08/2011,8
553,12/07/1985,8
554,11/02/2011,8
555,20/09/2010,8
556,13/01/2015,8
557,12/07/2011,8
558,16/08/2008,8
559,20/05/2011,8
560,20/05/2009,8
561,18/04/2011,8
562,15/08/2011,8
563,12/12/2009,8
564,09/08/2011,8
565,08/07/2014,8
566,20/08/2010,8
567,15/09/2009,8
568,19/05/2011,8
569,01/01/1902,8
570,28/05/2009,8
571,27/05/2011,8
572,26/10/2010,8
573,29/12/2015,8
574,01/10/2011,8
575,30/11/2011,8
576,30/11/2010,8
577,29/07/2011,8
578,22/02/2011,8
579,26/07/2017,8
580,01/12/2010,8
581,29/09/2011,8
582,30/09/2011,8
583,03/11/2010,8
584,30/07/2014,8
585,22/06/2011,8
586,21/08/2008,8
587,03/10/2011,8
588,26/07/2007,8
589,01/08/2012,8
590,03/05/2011,8
591,03/03/2011,8
592,24/12/2009,8
593,03/01/2010,8
594,26/02/2009,8
595,25/03/2015,8
596,22/12/2006,8
597,05/04/2011,8
598,06/03/2012,7
599,28/03/2011,7
600,06/08/2008,7
601,20/07/2002 00:00,7
602,28/03/2012,7
603,15/09/2012,7
604,08/01/2011,7
605,08/02/2012,7
606,03/07/2012,7
607,16/04/2012,7
